"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 30 16:14:18 MSK 2024","Tue Jan 30 16:14:24 MSK 2024","6005","","tests.TestControlValidDataTransportOrder","","tests.TestControlValidDataTransportOrder","checkNoKUNAGandTDLNR","checkNoKUNAGandTDLNR",""
"passed","Tue Jan 30 16:18:43 MSK 2024","Tue Jan 30 16:18:45 MSK 2024","2636","","tests.TestPageTO","","tests.TestPageTO","testStatusNew","testStatusNew",""
"passed","Tue Jan 30 16:14:12 MSK 2024","Tue Jan 30 16:14:18 MSK 2024","5558","","tests.TestControlValidDataTransportOrder","","tests.TestControlValidDataTransportOrder","checkDuplicateMessageUid","checkDuplicateMessageUid",""
"passed","Tue Jan 30 16:18:38 MSK 2024","Tue Jan 30 16:18:40 MSK 2024","2368","","tests.TestPageTO","","tests.TestPageTO","testStatusExpiredMoreTwoDays","testStatusExpiredMoreTwoDays",""
"passed","Tue Jan 30 16:18:35 MSK 2024","Tue Jan 30 16:18:38 MSK 2024","2934","","tests.TestOutDeliveryPoint","","tests.TestOutDeliveryPoint","onePoint","onePoint",""
"passed","Tue Jan 30 16:09:17 MSK 2024","Tue Jan 30 16:10:02 MSK 2024","44911","","tests.TestAppointments","","tests.TestAppointments","checkNotCancelAppointmentBeforeChangeStatus03","checkNotCancelAppointmentBeforeChangeStatus03",""
"passed","Tue Jan 30 16:18:48 MSK 2024","Tue Jan 30 16:19:30 MSK 2024","42553","","tests.TestSendNotification","","tests.TestSendNotification","checkCreateAppointmentStatus01","checkCreateAppointmentStatus01",""
"passed","Tue Jan 30 16:08:32 MSK 2024","Tue Jan 30 16:09:17 MSK 2024","44809","","tests.TestAppointments","","tests.TestAppointments","checkCancelAppointmentOnButton","checkCancelAppointmentOnButton",""
"passed","Tue Jan 30 16:19:30 MSK 2024","Tue Jan 30 16:20:14 MSK 2024","43423","","tests.TestSendNotification","","tests.TestSendNotification","checkCreateAppointmentStatus03","checkCreateAppointmentStatus03",""
"passed","Fri Jan 19 15:28:07 MSK 2024","Fri Jan 19 15:28:13 MSK 2024","6613","","tests.TestControlValidDataTransportOrder","","tests.TestControlValidDataTransportOrder","checkNoVSTEL_TOR","checkNoVSTEL_TOR",""
"passed","Tue Jan 30 16:07:47 MSK 2024","Tue Jan 30 16:08:32 MSK 2024","44982","","tests.TestAppointments","","tests.TestAppointments","checkExecutedStatus","checkExecutedStatus",""
"passed","Tue Jan 30 16:13:42 MSK 2024","Tue Jan 30 16:13:44 MSK 2024","1805","","tests.TestCheckWorkPage","","tests.TestCheckWorkPage","checkServicesLookupPage","checkServicesLookupPage",""
"broken","Tue Jan 30 16:04:31 MSK 2024","Tue Jan 30 16:05:27 MSK 2024","55837","","tests.TestAppointments","","tests.TestAppointments","checkCancelAppointmentAfterChangeVSTEL","checkCancelAppointmentAfterChangeVSTEL",""
"passed","Tue Jan 30 16:03:02 MSK 2024","Tue Jan 30 16:03:49 MSK 2024","46459","","tests.TestAppointments","","tests.TestAppointments","checkCancelAppointmentAfterChangeKUNNR","checkCancelAppointmentAfterChangeKUNNR",""
"passed","Tue Jan 30 16:10:46 MSK 2024","Tue Jan 30 16:11:28 MSK 2024","41728","","tests.TestAppointments","","tests.TestAppointments","checkCreateAppointmentAdminKd","checkCreateAppointmentAdminKd",""
"passed","Tue Jan 30 16:13:40 MSK 2024","Tue Jan 30 16:13:42 MSK 2024","1372","","tests.TestCheckWorkPage","","tests.TestCheckWorkPage","checkServiceProvidersLogo","checkServiceProvidersLogo",""
"passed","Tue Jan 30 16:13:45 MSK 2024","Tue Jan 30 16:13:48 MSK 2024","3058","","tests.TestCheckWorkPage","","tests.TestCheckWorkPage","checkDeliveryPoint","checkDeliveryPoint",""
"passed","Tue Jan 30 16:16:46 MSK 2024","Tue Jan 30 16:18:29 MSK 2024","103136","","tests.TestDrivers","","tests.TestDrivers","createAndDeleteVehicle","createAndDeleteVehicle",""
"passed","Tue Jan 30 16:14:41 MSK 2024","Tue Jan 30 16:16:46 MSK 2024","124363","","tests.TestDrivers","","tests.TestDrivers","createAndDeleteDriver","createAndDeleteDriver",""
"passed","Tue Jan 30 16:18:32 MSK 2024","Tue Jan 30 16:18:35 MSK 2024","2798","","tests.TestOutDeliveryPoint","","tests.TestOutDeliveryPoint","fiveProductOnFiveDifferentPoint","fiveProductOnFiveDifferentPoint",""
"passed","Tue Jan 30 16:18:40 MSK 2024","Tue Jan 30 16:18:43 MSK 2024","2539","","tests.TestPageTO","","tests.TestPageTO","testStatusJnuhepbnmToday","testStatusJnuhepbnmToday",""
"passed","Tue Jan 30 16:03:49 MSK 2024","Tue Jan 30 16:04:31 MSK 2024","42306","","tests.TestAppointments","","tests.TestAppointments","checkCancelAppointmentAfterChangeTDLNR","checkCancelAppointmentAfterChangeTDLNR",""
"passed","Tue Jan 30 16:14:01 MSK 2024","Tue Jan 30 16:14:07 MSK 2024","5575","","tests.TestControlValidDataTransportOrder","","tests.TestControlValidDataTransportOrder","checkNoSTAGE_ROUTE","checkNoSTAGE_ROUTE",""
"broken","Thu Jan 18 16:09:06 MSK 2024","Thu Jan 18 16:09:08 MSK 2024","1956","","tests.TestControlValidDataTransportOrder","","tests.TestControlValidDataTransportOrder","checkNoKUNAGandKUNNR","checkNoKUNAGandKUNNR",""
"passed","Tue Jan 30 16:02:16 MSK 2024","Tue Jan 30 16:03:02 MSK 2024","46156","","tests.TestAppointments","","tests.TestAppointments","checkCancelAppointmentAfterChangeKUNAG","checkCancelAppointmentAfterChangeKUNAG",""
"passed","Tue Jan 30 16:18:45 MSK 2024","Tue Jan 30 16:18:48 MSK 2024","2540","","tests.TestPageTO","","tests.TestPageTO","testStatusExpiredOneDay","testStatusExpiredOneDay",""
"passed","Tue Jan 30 16:14:29 MSK 2024","Tue Jan 30 16:14:35 MSK 2024","5870","","tests.TestControlValidDataTransportOrder","","tests.TestControlValidDataTransportOrder","checkNoMATNR","checkNoMATNR",""
"passed","Tue Jan 30 16:13:38 MSK 2024","Tue Jan 30 16:13:40 MSK 2024","1854","","tests.TestCheckWorkPage","","tests.TestCheckWorkPage","checkUsersLogo","checkUsersLogo",""
"passed","Tue Jan 30 16:14:24 MSK 2024","Tue Jan 30 16:14:29 MSK 2024","5719","","tests.TestControlValidDataTransportOrder","","tests.TestControlValidDataTransportOrder","checkNoDES_LOC_TEXT","checkNoDES_LOC_TEXT",""
"passed","Tue Jan 30 16:14:07 MSK 2024","Tue Jan 30 16:14:12 MSK 2024","5550","","tests.TestControlValidDataTransportOrder","","tests.TestControlValidDataTransportOrder","checkNormalTO","checkNormalTO",""
"passed","Tue Jan 30 16:10:02 MSK 2024","Tue Jan 30 16:10:46 MSK 2024","44288","","tests.TestAppointments","","tests.TestAppointments","checkNotCancelAppointmentBeforeChangeStatus04","checkNotCancelAppointmentBeforeChangeStatus04",""
"passed","Tue Jan 30 16:18:29 MSK 2024","Tue Jan 30 16:18:32 MSK 2024","3353","","tests.TestOutDeliveryPoint","","tests.TestOutDeliveryPoint","fiveProductOnFiveSamePoint","fiveProductOnFiveSamePoint",""
"passed","Tue Jan 30 16:12:13 MSK 2024","Tue Jan 30 16:12:56 MSK 2024","43698","","tests.TestAppointments","","tests.TestAppointments","checkCancelAppointmentChangeTO","checkCancelAppointmentChangeTO",""
"passed","Tue Jan 30 16:20:14 MSK 2024","Tue Jan 30 16:20:57 MSK 2024","42978","","tests.TestSendNotification","","tests.TestSendNotification","checkCreateAppointmentStatus04","checkCreateAppointmentStatus04",""
"passed","Tue Jan 30 16:14:35 MSK 2024","Tue Jan 30 16:14:41 MSK 2024","5892","","tests.TestControlValidDataTransportOrder","","tests.TestControlValidDataTransportOrder","checkNoVSTEL","checkNoVSTEL",""
"passed","Tue Jan 30 16:11:28 MSK 2024","Tue Jan 30 16:12:13 MSK 2024","44825","","tests.TestAppointments","","tests.TestAppointments","checkCancelAppointmentAfterChangeCountStageRoute","checkCancelAppointmentAfterChangeCountStageRoute",""
"passed","Tue Jan 30 16:06:12 MSK 2024","Tue Jan 30 16:07:03 MSK 2024","50709","","tests.TestAppointments","","tests.TestAppointments","checkCreateAppointmentLogist","checkCreateAppointmentLogist",""
"passed","Tue Jan 30 16:13:50 MSK 2024","Tue Jan 30 16:13:52 MSK 2024","1852","","tests.TestCheckWorkPage","","tests.TestCheckWorkPage","checkAboutLogo","checkAboutLogo",""
"broken","Tue Jan 30 16:05:27 MSK 2024","Tue Jan 30 16:06:12 MSK 2024","44896","","tests.TestAppointments","","tests.TestAppointments","checkCreateAppointmentBuyer","checkCreateAppointmentBuyer",""
"passed","Tue Jan 30 16:13:44 MSK 2024","Tue Jan 30 16:13:45 MSK 2024","1801","","tests.TestCheckWorkPage","","tests.TestCheckWorkPage","checkStatisticLogo","checkStatisticLogo",""
"passed","Tue Jan 30 16:13:48 MSK 2024","Tue Jan 30 16:13:50 MSK 2024","1510","","tests.TestCheckWorkPage","","tests.TestCheckWorkPage","checkMessagesPage","checkMessagesPage",""
"passed","Tue Jan 30 16:12:56 MSK 2024","Tue Jan 30 16:13:38 MSK 2024","42164","","tests.TestAppointments","","tests.TestAppointments","checkCancelAppointmentAfterChangeDES_LOC","checkCancelAppointmentAfterChangeDES_LOC",""
"passed","Tue Jan 30 16:07:03 MSK 2024","Tue Jan 30 16:07:47 MSK 2024","44381","","tests.TestAppointments","","tests.TestAppointments","checkDeleteAppointmentSingDel","checkDeleteAppointmentSingDel",""
"passed","Thu Jan 18 13:55:27 MSK 2024","Thu Jan 18 13:56:09 MSK 2024","42178","","tests.TestAppointments","","tests.TestAppointments","checkCreateAppointment","checkCreateAppointment",""
"passed","Tue Jan 30 16:13:52 MSK 2024","Tue Jan 30 16:13:57 MSK 2024","5715","","tests.TestControlValidDataTransportOrder","","tests.TestControlValidDataTransportOrder","checkNoDES_LOC","checkNoDES_LOC",""
"passed","Tue Jan 30 16:13:57 MSK 2024","Tue Jan 30 16:14:01 MSK 2024","3592","","tests.TestControlValidDataTransportOrder","","tests.TestControlValidDataTransportOrder","checkNoTOR_ID","checkNoTOR_ID",""
